Country,Fiscal Year,Population,Annual Growth Rate,Rate of Natural Increase,Population Density,Crude Birth Rate,Net Migration Rate,"Net International Migrants, Both Sexes"
Jamaica,2012,2827200,-0.19,1.02,261.0,17.7,-12.1,-34131.0
Japan,2012,127250763,-0.19,-0.13,349.1,8.5,-0.6,-78805.0
Jersey,2012,94826,0.79,0.32,817.5,11.1,4.7,0.0
Jordan,2012,7077343,0.93,2.31,79.7,26.8,-13.9,-98029.0
Kazakhstan,2012,17571722,1.4,1.4,6.5,22.2,-0.1,-1426.0
Kenya,2012,41835954,2.55,2.71,73.5,33.8,-1.6,-66603.0
Kiribati,2012,102153,1.21,1.5,126.0,22.3,-2.9,0.0
"Korea, North",2012,24655256,0.57,0.57,204.8,14.4,0.0,-1000.0
"Korea, South",2012,50317324,0.45,0.43,519.2,9.6,0.1,6607.0
Kosovo,2012,1836167,0.6,1.09,168.7,18.0,-4.9,-9060.0
Kuwait,2012,2646670,1.89,1.89,148.5,21.0,0.0,0.0
Kyrgyzstan,2012,5496560,0.89,1.7,28.7,23.9,-8.1,-44539.0
Laos,2012,6625013,1.74,1.94,28.7,26.4,-1.9,-12735.0
Latvia,2012,2051103,-1.02,-0.45,32.9,9.7,-5.8,-11860.0
Lebanon,2012,5070715,3.17,1.49,495.7,19.2,16.8,85122.0
Lesotho,2012,2028871,0.86,1.28,66.8,28.1,-4.2,-8417.0
Liberia,2012,4075598,2.14,2.84,42.3,37.8,-7.0,-28632.0
Libya,2012,5790189,2.57,2.48,3.3,28.8,0.9,5219.0
Liechtenstein,2012,36713,0.8,0.4,229.5,10.8,4.0,0.0
Lithuania,2012,2973157,-1.07,-0.35,47.4,10.2,-7.2,-21257.0
Luxembourg,2012,533061,2.29,0.4,206.1,11.3,18.8,10036.0
Macau,2012,580391,0.98,0.64,0.0,10.0,3.5,2000.0
Madagascar,2012,21967795,2.68,2.68,37.8,34.0,0.0,0.0
Malawi,2012,15966179,2.99,3.08,169.7,37.0,-0.9,-14370.0
Malaysia,2012,29982958,1.41,1.24,91.2,17.0,1.7,50000.0
Maldives,2012,394347,-0.14,1.12,0.0,14.9,-12.6,-4985.0
Mali,2012,15408711,2.1,3.52,12.6,46.4,-14.2,-218568.0
Malta,2012,422121,0.9,0.17,0.0,9.8,7.4,3106.0
Marshall Islands,2012,68358,1.85,2.36,377.7,28.0,-5.1,0.0
Mauritania,2012,3477015,4.33,3.17,3.4,38.5,11.6,40300.0
Mauritius,2012,1288493,0.26,0.4,634.7,11.3,-1.4,-1800.0
Mexico,2012,117627103,1.4,1.46,60.5,19.7,-0.6,-71513.0
"Micronesia, Federated States of",2012,106384,-0.35,1.75,151.5,21.8,-21.0,-2232.0
Moldova,2012,3907889,-0.15,-0.15,118.8,11.0,0.0,0.0
Monaco,2012,30523,-0.05,-0.15,0.0,6.9,1.0,0.0
Mongolia,2012,2881567,1.86,2.0,1.9,26.4,-1.4,-4100.0
Montenegro,2012,622079,-0.06,0.25,46.2,12.0,-3.1,-1915.0
Montserrat,2012,5163,0.47,0.47,50.6,11.4,0.0,0.0
Morocco,2012,33052739,1.18,1.41,46.1,20.8,-2.3,-75568.0
Mozambique,2012,24329701,2.77,2.99,30.9,44.2,-2.1,-51900.0
Namibia,2012,2249415,1.76,2.1,2.7,30.0,-3.4,-7733.0
Nauru,2012,9343,0.56,2.07,444.9,27.0,-15.1,0.0
Nepal,2012,27501219,1.5,1.65,191.8,22.4,-1.5,-41756.0
Netherlands,2012,16713096,0.29,0.21,493.1,10.5,0.8,13884.0
New Caledonia,2012,260190,1.49,1.07,14.2,16.0,4.2,1088.0
New Zealand,2012,4336624,0.69,0.72,16.4,14.1,-0.3,-1164.0
Nicaragua,2012,5818040,1.39,1.59,48.5,20.6,-2.0,-11877.0
Niger,2012,16842453,4.0,3.8,13.3,50.6,2.0,33831.0
Nigeria,2012,174931760,2.62,2.66,192.1,38.1,-0.4,-65162.0
North Macedonia,2012,2089228,0.22,0.16,82.1,11.3,0.5,1053.0
Northern Mariana Islands,2012,53405,-0.21,1.31,113.1,17.3,-15.2,0.0
Norway,2012,5021107,1.31,0.36,16.5,12.0,9.4,47343.0
Oman,2012,3084018,2.03,2.08,10.0,24.2,-0.5,-1538.0
Pakistan,2012,197077122,2.26,2.44,255.7,31.7,-1.8,-359914.0
Palau,2012,20966,0.3,0.25,45.7,10.3,0.5,0.0
Panama,2012,3594589,1.66,1.58,48.4,21.0,0.8,2954.0
Papua New Guinea,2012,7445397,2.63,2.63,16.4,32.6,0.0,0.0
Paraguay,2012,6537669,1.26,1.26,16.5,17.2,-0.1,0.0
Peru,2012,29666146,0.49,1.58,23.2,21.0,-10.9,-323814.0
Philippines,2012,96862023,1.58,1.91,324.9,24.6,-3.3,-317697.0
Poland,2012,38632423,-0.01,0.01,127.0,10.0,-0.2,-6617.0
Portugal,2012,10591764,-0.52,-0.17,115.8,8.5,-3.5,-37352.0
Puerto Rico,2012,3636205,-1.19,0.25,410.0,10.7,-14.4,-52381.0
Qatar,2012,1952262,4.94,0.88,168.5,10.3,40.6,79189.0
Romania,2012,20252280,-0.63,-0.27,88.1,9.9,-3.6,-73379.0
Russia,2012,143645489,0.1,-0.09,8.8,12.8,1.9,270036.0
Rwanda,2012,10505340,3.04,2.8,425.9,35.3,2.4,24962.0
Saint Barthelemy,2012,7331,-0.45,0.33,293.2,10.0,-7.8,0.0
"Saint Helena, Ascension, and Tristan da Cunha",2012,7745,0.37,0.37,19.7,10.6,0.0,0.0
Saint Kitts and Nevis,2012,50707,0.8,0.67,194.3,13.9,1.2,0.0
Saint Lucia,2012,161811,0.36,0.72,267.0,14.4,-3.5,0.0
Saint Martin,2012,30943,1.05,1.23,573.0,16.3,-1.8,0.0
Saint Pierre and Miquelon,2012,5865,-0.97,-0.09,24.2,8.0,-8.9,0.0
Saint Vincent and the Grenadines,2012,103410,-0.32,0.73,265.8,14.4,-10.5,-1083.0
Samoa,2012,194318,0.6,1.68,68.9,22.1,-10.8,-2100.0
San Marino,2012,32127,0.98,0.08,526.7,8.9,9.0,0.0
Sao Tome and Principe,2012,183044,1.98,2.9,189.9,37.0,-9.2,-1674.0
Saudi Arabia,2012,29493088,2.33,1.59,13.7,19.0,7.4,217665.0
Senegal,2012,13470240,3.03,3.2,70.0,38.4,-1.7,-22441.0
Serbia,2012,7159029,-0.49,-0.49,92.4,9.4,0.0,0.0
Seychelles,2012,89698,0.91,0.81,197.1,15.2,1.0,0.0
Sierra Leone,2012,6519000,3.09,2.59,91.0,39.4,5.0,32365.0
Singapore,2012,5318078,1.28,0.81,0.0,11.5,4.7,25000.0
Sint Maarten,2012,39143,1.59,0.92,0.0,13.0,6.7,0.0
Slovakia,2012,5440777,0.12,0.06,113.1,10.2,0.6,3416.0
Slovenia,2012,2092758,0.16,0.13,103.9,10.5,0.3,0.0
Solomon Islands,2012,580328,2.14,2.33,20.7,27.4,-1.9,-1087.0
Somalia,2012,12682838,3.13,3.57,20.2,52.2,-4.4,-55565.0
South Africa,2012,52995725,1.19,1.29,43.6,21.4,-1.1,-56663.0
South Sudan,2012,10776233,4.06,2.9,16.7,40.8,11.7,125775.0
Spain,2012,46444355,-0.2,0.11,93.1,9.8,-3.1,-142553.0
Sri Lanka,2012,20758316,0.15,1.07,321.2,17.3,-9.2,-190483.0
Sudan,2012,36431189,2.21,2.88,19.6,36.8,-6.7,-243463.0
Suriname,2012,554290,1.6,1.18,3.6,18.4,4.2,2324.0
Sweden,2012,9573255,0.76,0.22,23.3,11.8,5.4,51312.0
Switzerland,2012,8077542,0.66,0.22,202.0,10.2,4.3,35096.0
Syria,2012,22432681,-3.14,2.16,120.7,27.9,-53.0,-1188778.0
Taiwan,2012,23238660,0.4,0.33,720.4,10.0,0.7,15680.0
Tajikistan,2012,7872533,2.69,2.75,55.6,33.6,-0.7,-5108.0
Tanzania,2012,46738456,2.96,3.03,52.8,38.3,-0.6,-29235.0
Thailand,2012,67045539,0.54,0.46,131.2,11.7,0.8,56258.0
Timor-Leste,2012,1126414,2.1,2.57,75.7,34.1,-4.7,-5234.0
Togo,2012,6531832,2.8,3.0,120.1,37.0,-2.0,-12910.0
Tonga,2012,106134,0.19,1.98,148.0,24.6,-17.9,-1900.0
Trinidad and Tobago,2012,1334316,0.49,0.64,260.2,14.2,-1.5,-1943.0
Tunisia,2012,10772441,1.19,1.43,69.3,20.6,-2.4,-25737.0
Turkey,2012,76335994,1.32,1.16,99.2,17.5,1.6,120549.0
Turkmenistan,2012,5053286,1.13,1.32,10.8,19.4,-1.9,-9620.0
Turks and Caicos Islands,2012,46379,3.22,1.49,48.9,17.4,17.3,0.0
Tuvalu,2012,10627,0.73,1.43,408.7,23.3,-7.0,0.0
Uganda,2012,32815387,3.01,3.67,166.5,44.3,-6.6,-215116.0
Ukraine,2012,45491540,-0.17,-0.31,78.5,11.5,1.4,61844.0
United Arab Emirates,2012,8606553,3.67,0.92,102.9,10.4,27.5,236384.0
United Kingdom,2012,63448099,0.68,0.4,262.3,12.8,2.8,176823.0
United States,2012,313877662,0.72,0.45,34.3,12.6,2.7,859362.0
Uruguay,2012,3372304,0.46,0.44,19.3,14.3,0.2,0.0
Uzbekistan,2012,29557133,1.48,1.62,69.5,21.2,-1.4,-40952.0
Vanuatu,2012,255930,2.12,2.27,21.0,27.0,-1.6,0.0
Venezuela,2012,29486420,1.34,1.53,33.4,20.6,-1.9,-55104.0
Vietnam,2012,92697293,1.24,1.27,299.0,18.2,-0.3,-31090.0
"Virgin Islands, British",2012,31126,2.41,0.6,206.1,10.7,18.2,0.0
"Virgin Islands, U.S.",2012,108188,-0.13,0.64,310.9,13.1,-7.7,0.0
Wallis and Futuna,2012,15429,0.32,0.88,108.7,13.9,-5.6,0.0
West Bank,2012,2508080,2.01,2.49,444.7,28.6,-4.9,-12271.0
Yemen,2012,25372292,2.71,2.85,48.1,35.2,-1.4,-34984.0
Zambia,2012,14518489,2.97,3.1,19.5,39.0,-1.4,-19878.0
Zimbabwe,2012,13322711,0.57,2.59,34.4,36.0,-20.2,-269564.0
Afghanistan,2013,36521128,2.98,3.04,56.0,37.7,-0.5,-19632.0
Albania,2013,2786300,-0.54,0.55,101.7,12.8,-10.9,-30322.0
Algeria,2013,38187612,2.01,2.1,16.0,25.2,-0.9,-35482.0
American Samoa,2013,53808,-1.27,1.66,271.8,21.6,-29.3,-1575.0
Andorra,2013,85389,0.23,0.23,182.5,8.9,0.0,0.0
Angola,2013,25437739,4.34,3.52,20.4,44.7,8.2,207242.0
Anguilla,2013,15728,2.09,0.82,172.8,12.7,12.7,0.0
Antigua and Barbuda,2013,89990,1.25,1.02,203.1,16.1,2.3,0.0
Argentina,2013,42660024,1.01,1.01,15.6,17.7,0.1,3894.0
Armenia,2013,3064086,-0.1,0.49,108.6,14.2,-6.0,-18249.0
Aruba,2013,109110,1.39,0.48,606.2,12.7,9.2,1000.0
Australia,2013,22946421,1.6,0.7,3.0,13.4,9.0,206190.0
Austria,2013,8561432,0.64,0.0,103.8,9.3,6.4,54728.0
Azerbaijan,2013,9752254,1.36,1.34,118.0,19.7,0.2,2348.0
"Bahamas, The",2013,365757,1.24,0.67,36.5,12.0,5.7,2073.0
Bahrain,2013,1281297,2.56,1.15,0.0,14.1,14.1,18100.0
Bangladesh,2013,151383334,1.05,1.44,0.0,19.7,-4.0,-603105.0
Barbados,2013,293480,0.42,0.45,682.5,12.0,-0.3,0.0
Belarus,2013,9655326,0.05,-0.08,47.6,12.2,1.2,11644.0
Belgium,2013,11134255,0.55,0.14,367.7,11.2,4.1,46094.0
Belize,2013,344402,1.97,1.67,15.1,21.3,3.0,1018.0
Benin,2013,10134506,3.31,3.32,91.6,43.0,-0.1,0.0
Bermuda,2013,69537,0.54,0.34,0.0,11.4,2.0,0.0
Bhutan,2013,787669,1.18,1.18,20.5,18.5,0.0,0.0
Bolivia,2013,10581190,1.73,1.84,9.8,24.4,-1.1,-11567.0
Bosnia and Herzegovina,2013,3861516,-0.26,-0.13,75.4,8.0,-1.3,-5000.0
Botswana,2013,2078279,1.63,1.32,3.7,23.8,3.1,6397.0
Brazil,2013,203079584,0.85,0.84,24.3,14.4,0.1,15178.0
Brunei,2013,415374,1.67,1.42,78.9,17.6,2.5,1044.0
Bulgaria,2013,7267962,-0.53,-0.52,67.0,9.2,-0.2,-1108.0
Burkina Faso,2013,17110640,2.89,3.13,62.5,41.4,-2.5,-41870.0
Burma,2013,53020809,0.87,1.2,81.1,19.8,-3.3,-172568.0
Burundi,2013,10068783,3.08,3.15,392.1,39.2,-0.7,-7200.0
Cabo Verde,2013,530549,1.39,1.46,131.6,20.8,-0.7,0.0
Cambodia,2013,14807531,1.08,1.93,83.9,25.5,-8.5,-126457.0
Cameroon,2013,22689999,2.79,2.73,48.0,37.4,0.6,13011.0
Canada,2013,35397406,1.17,0.36,3.9,10.7,8.0,284323.0
Cayman Islands,2013,53657,2.21,0.7,203.2,12.2,15.1,0.0
Central African Republic,2013,4938250,0.27,2.16,7.9,36.1,-18.9,-93508.0
Chad,2013,13385231,3.83,3.46,10.6,46.7,3.7,49620.0
Chile,2013,17154068,0.85,0.85,23.1,14.1,0.0,0.0
China,2013,1365719156,0.63,0.64,146.4,13.2,-0.2,-213000.0
Colombia,2013,44640800,0.54,1.11,43.0,16.4,-5.7,-256267.0
Comoros,2013,756978,1.98,2.24,338.7,30.1,-2.6,-1975.0
Congo (Brazzaville),2013,4633864,1.77,2.79,13.6,33.4,-10.2,-47011.0
Congo (Kinshasa),2013,80747292,3.53,3.46,35.6,44.9,0.8,62300.0
Cook Islands,2013,10414,-3.1,0.68,44.1,14.4,-37.8,0.0
Costa Rica,2013,4712629,1.23,1.07,92.3,15.0,1.6,7536.0
Croatia,2013,4375160,-0.35,-0.24,78.2,9.1,-1.1,-4884.0
Cuba,2013,11249060,0.01,0.3,102.4,11.2,-2.9,-33086.0
Curaçao,2013,146844,0.63,0.57,330.7,13.7,0.7,0.0
Cyprus,2013,1155556,1.53,0.5,125.0,11.4,10.3,11916.0
Czechia,2013,10591394,-0.04,-0.02,137.1,10.1,-0.1,-1297.0
Côte d’Ivoire,2013,23233504,2.89,2.77,73.1,37.2,1.1,26527.0
Denmark,2013,5617172,0.47,0.06,132.4,10.0,4.1,22802.0
Djibouti,2013,790955,2.26,1.65,34.1,24.4,6.0,4763.0
Dominica,2013,73674,0.21,0.74,98.1,15.4,-5.4,0.0
Dominican Republic,2013,9803276,1.13,1.36,202.9,20.0,-2.3,-22613.0
Ecuador,2013,15659275,1.43,1.64,63.1,20.9,-2.1,-32381.0
Egypt,2013,88110608,2.72,2.63,88.5,31.1,0.9,80260.0
El Salvador,2013,6189809,1.77,1.41,298.7,20.0,3.5,21923.0
Equatorial Guinea,2013,1146895,4.88,2.62,40.9,35.8,22.6,25886.0
Eritrea,2013,5687507,1.84,2.48,56.3,32.4,-6.4,-36440.0
Estonia,2013,1287036,-0.34,-0.13,30.4,10.5,-2.1,-2642.0
Eswatini,2013,1040730,0.89,1.6,60.5,28.8,-7.1,-7400.0
Ethiopia,2013,89335550,2.79,2.76,81.5,34.9,0.4,35085.0
Faroe Islands,2013,49701,0.46,0.46,35.7,13.3,0.0,0.0
Fiji,2013,896215,0.73,1.43,49.0,20.2,-7.0,-6265.0
Finland,2013,5430351,0.46,0.12,17.9,10.7,3.3,18048.0
France,2013,65972844,0.53,0.38,103.0,12.4,1.5,97795.0
French Polynesia,2013,277207,0.98,1.08,72.4,15.6,-0.9,0.0
Gabon,2013,1808969,3.7,2.03,7.0,27.8,16.7,30251.0
"Gambia, The",2013,1913150,2.88,2.88,189.0,35.7,-0.1,0.0
Gaza Strip,2013,1660336,3.02,3.14,0.0,34.8,-1.2,-2000.0
Georgia,2013,4946331,0.03,0.08,71.0,13.8,-0.5,-2606.0
Germany,2013,82056877,0.28,-0.25,235.3,8.3,5.3,433386.0
Ghana,2013,26635950,2.66,2.57,117.1,33.8,0.9,23118.0
Gibraltar,2013,28992,0.26,0.59,0.0,13.8,-3.3,0.0
Greece,2013,10872247,-0.57,-0.16,83.2,8.7,-4.1,-44139.0
Greenland,2013,57672,0.04,0.6,0.0,14.6,-5.6,0.0
Grenada,2013,109675,0.53,0.86,318.8,16.5,-3.3,0.0
Guam,2013,165313,0.32,1.44,303.9,19.9,-11.2,-1853.0
Guatemala,2013,15125716,1.98,2.22,141.2,27.5,-2.4,-36688.0
Guernsey,2013,65689,0.41,0.16,842.2,9.9,2.5,0.0
Guinea,2013,10351170,2.65,2.67,42.1,36.8,-0.2,-1811.0
Guinea-Bissau,2013,1624312,2.36,2.77,57.8,37.8,-4.1,-6630.0
Guyana,2013,786248,-0.03,1.01,4.0,16.5,-10.4,-8150.0
Haiti,2013,9972869,1.34,1.79,361.9,26.0,-4.5,-44450.0
Honduras,2013,8437580,1.7,1.88,75.4,23.5,-1.8,-15343.0
Hong Kong,2013,7082123,0.44,0.27,0.0,9.5,1.7,12001.0
Hungary,2013,9919643,-0.22,-0.4,110.7,9.0,1.8,17372.0
Iceland,2013,323744,1.29,0.79,3.2,14.1,4.9,1598.0
India,2013,1267220075,1.21,1.24,426.2,19.4,-0.3,-321340.0
Indonesia,2013,255144559,1.12,1.23,140.8,19.0,-1.2,-294351.0
Iran,2013,77668796,1.31,1.35,50.7,18.8,-0.3,-25672.0
Iraq,2013,32911448,4.04,2.6,75.2,30.8,14.4,474406.0
Ireland,2013,4677112,0.61,0.84,67.9,14.7,-2.4,-11021.0
Isle of Man,2013,86058,0.82,0.11,150.5,11.3,7.1,0.0
Israel,2013,7803834,1.84,1.62,363.0,21.3,2.2,16917.0
Italy,2013,61433746,0.16,-0.14,208.9,8.4,3.0,181719.0
Jamaica,2013,2822413,-0.15,0.99,260.6,17.4,-11.4,-32183.0
Japan,2013,127038622,-0.14,-0.15,348.5,8.5,0.1,14378.0
Jersey,2013,95578,0.79,0.35,823.9,11.3,4.4,0.0
Jordan,2013,7845361,18.74,2.08,88.3,24.5,166.6,1307042.0
Kazakhstan,2013,17820975,1.42,1.42,6.6,21.9,0.0,0.0
Kenya,2013,42889189,2.43,2.62,75.4,32.8,-1.9,-82540.0
Kiribati,2013,103386,1.19,1.47,127.5,22.0,-2.9,0.0
"Korea, North",2013,24796379,0.57,0.58,205.9,14.3,0.0,-1000.0
"Korea, South",2013,50556996,0.51,0.34,521.6,8.6,1.7,85211.0
Kosovo,2013,1847268,0.61,1.06,169.7,17.7,-4.5,-8362.0
Kuwait,2013,2695800,1.79,1.85,151.3,20.6,-0.6,-1644.0
Kyrgyzstan,2013,5547741,0.97,1.68,28.9,23.6,-7.1,-39543.0
Laos,2013,6740794,1.72,1.91,29.2,26.0,-1.9,-12735.0
Latvia,2013,2029430,-1.1,-0.4,32.6,10.2,-7.0,-14262.0
Lebanon,2013,5546122,14.25,1.48,542.1,19.1,127.7,707962.0
Lesotho,2013,2046245,0.84,1.27,67.4,27.5,-4.3,-8699.0
Liberia,2013,4169342,2.41,2.79,43.3,37.1,-3.8,-15748.0
Libya,2013,5950347,2.88,2.45,3.4,28.3,4.3,25739.0
Liechtenstein,2013,37010,0.81,0.38,231.3,10.7,4.4,0.0
Lithuania,2013,2943071,-0.97,-0.4,47.0,10.2,-5.7,-16807.0
Luxembourg,2013,545475,2.32,0.42,210.9,11.2,19.0,10348.0
Macau,2013,586116,0.98,0.64,0.0,10.1,3.4,2000.0
Madagascar,2013,22561376,2.65,2.65,38.8,33.5,0.0,0.0
Malawi,2013,16443231,2.9,2.98,174.8,35.7,-0.8,-12574.0
Malaysia,2013,30399783,1.35,1.19,92.5,16.6,1.6,50000.0
Maldives,2013,393812,-0.13,1.14,0.0,15.1,-12.7,-4985.0
Mali,2013,15814633,3.09,3.52,13.0,46.2,-4.3,-67763.0
Malta,2013,426039,0.94,0.19,0.0,9.5,7.6,3224.0
Marshall Islands,2013,69610,1.78,2.28,384.6,27.1,-5.0,0.0
Mauritania,2013,3605689,2.96,3.15,3.5,38.2,-1.9,-6913.0
Mauritius,2013,1291247,0.17,0.31,636.1,10.5,-1.5,-1900.0
Mexico,2013,119228748,1.31,1.4,61.3,19.1,-0.9,-106951.0
"Micronesia, Federated States of",2013,105995,-0.38,1.71,151.0,21.4,-21.0,-2222.0
Moldova,2013,3901481,-0.18,-0.2,118.6,10.5,0.2,0.0
Monaco,2013,30519,0.02,-0.18,0.0,6.8,1.9,0.0
Mongolia,2013,2938112,2.03,2.19,1.9,28.2,-1.7,-4900.0
Montenegro,2013,621603,-0.09,0.25,46.2,12.0,-3.4,-2133.0
Montserrat,2013,5187,0.46,0.46,50.9,11.2,0.0,0.0
Morocco,2013,33440544,1.15,1.38,46.7,20.5,-2.3,-75734.0
Mozambique,2013,25009061,2.73,2.93,31.8,43.1,-1.9,-48200.0
Namibia,2013,2292948,2.07,2.07,2.8,29.4,0.0,0.0
Nauru,2013,9396,0.55,2.02,447.4,26.4,-14.7,0.0
Nepal,2013,27907012,1.43,1.59,194.7,21.7,-1.6,-45237.0
Netherlands,2013,16762211,0.29,0.18,494.6,10.2,1.1,19104.0
New Caledonia,2013,264052,1.46,1.04,14.4,15.8,4.1,1088.0
New Zealand,2013,4377391,1.18,0.67,16.5,13.4,5.1,22468.0
Nicaragua,2013,5898160,1.35,1.55,49.2,20.1,-2.0,-11877.0
Niger,2013,17505864,3.73,3.79,13.8,50.0,-0.5,-8985.0
Nigeria,2013,179546969,2.59,2.64,197.1,37.5,-0.5,-88052.0
North Macedonia,2013,2094132,0.25,0.19,82.3,11.1,0.7,1391.0
Northern Mariana Islands,2013,53260,-0.34,1.17,112.8,15.9,-15.0,0.0
Norway,2013,5082802,1.14,0.35,16.7,11.6,7.9,40073.0
Oman,2013,3147449,2.04,2.09,10.2,24.3,-0.5,-1563.0
Pakistan,2013,201581954,2.26,2.42,261.5,31.3,-1.6,-316643.0
Palau,2013,21029,0.3,0.25,45.8,10.4,0.5,0.0
Panama,2013,3654178,1.63,1.5,49.2,20.2,1.3,4615.0
Papua New Guinea,2013,7643865,2.63,2.63,16.9,32.6,0.0,0.0
Paraguay,2013,6619307,1.23,1.23,16.7,16.9,-0.1,0.0
Peru,2013,29806584,0.45,1.54,23.3,20.6,-10.8,-322234.0
Philippines,2013,98448417,1.67,1.86,330.2,24.1,-1.8,-180261.0
Poland,2013,38613020,-0.09,-0.04,126.9,9.6,-0.5,-19904.0
Portugal,2013,10534203,-0.57,-0.23,115.2,7.9,-3.4,-36232.0
Puerto Rico,2013,3589468,-1.4,0.21,404.7,10.2,-16.0,-57533.0
Qatar,2013,2043293,4.19,0.87,176.4,10.1,33.3,67935.0
Romania,2013,20136346,-0.52,-0.18,87.6,10.7,-3.4,-68504.0
Russia,2013,143786233,0.1,-0.07,8.8,12.7,1.7,245384.0
Rwanda,2013,10831401,3.07,2.74,439.1,34.3,3.4,36406.0
Saint Barthelemy,2013,7299,-0.43,0.29,292.0,9.7,-7.1,0.0
"Saint Helena, Ascension, and Tristan da Cunha",2013,7772,0.34,0.34,19.7,10.3,0.0,0.0
Saint Kitts and Nevis,2013,51111,0.79,0.66,195.8,13.8,1.2,0.0
Saint Lucia,2013,162391,0.35,0.69,268.0,14.2,-3.3,0.0
Saint Martin,2013,31248,0.92,1.2,578.7,16.0,-2.8,0.0
Saint Pierre and Miquelon,2013,5808,-0.96,-0.1,24.0,7.9,-8.6,0.0
Saint Vincent and the Grenadines,2013,103092,-0.3,0.7,265.0,14.1,-10.0,-1035.0
Samoa,2013,195471,0.59,1.64,69.3,21.7,-10.5,-2045.0
San Marino,2013,32435,0.93,0.06,531.7,8.9,8.7,0.0
Sao Tome and Principe,2013,186659,1.93,2.83,193.6,36.1,-9.0,-1674.0
Saudi Arabia,2013,30162427,2.17,1.52,14.0,18.3,6.4,194144.0
Senegal,2013,13885937,3.05,3.15,72.1,37.7,-1.1,-14539.0
Serbia,2013,7124084,-0.49,-0.49,92.0,9.2,0.0,0.0
Seychelles,2013,90508,0.89,0.79,198.9,14.9,1.0,0.0
Sierra Leone,2013,6723830,3.1,2.59,93.9,38.8,5.1,33957.0
Singapore,2013,5383565,1.17,0.71,0.0,10.6,4.6,25000.0
Sint Maarten,2013,39763,1.55,0.89,0.0,13.0,6.6,0.0
Slovakia,2013,5446591,0.09,0.05,113.2,10.1,0.4,2379.0
Slovenia,2013,2095553,0.11,0.09,104.0,10.1,0.2,0.0
Solomon Islands,2013,592741,2.09,2.27,21.2,26.8,-1.8,-1087.0
Somalia,2013,13146170,4.03,3.9,21.0,51.9,1.3,17344.0
South Africa,2013,53509160,0.74,1.31,44.1,21.4,-5.7,-304609.0
South Sudan,2013,11187790,3.45,2.86,17.4,40.4,5.8,65349.0
Spain,2013,46290810,-0.47,0.08,92.8,9.2,-5.4,-251531.0
Sri Lanka,2013,20831730,0.56,1.1,322.3,17.6,-5.4,-112529.0
Sudan,2013,37257113,2.28,2.82,20.0,36.0,-5.5,-203051.0
Suriname,2013,562748,1.43,1.15,3.6,17.8,2.9,1608.0
Sweden,2013,9647647,0.79,0.24,23.5,11.8,5.5,53093.0
Switzerland,2013,8140760,0.9,0.22,203.5,10.2,6.8,55579.0
Syria,2013,21064653,-9.65,1.92,113.3,27.4,-115.7,-2437663.0
Taiwan,2013,23311860,0.23,0.17,722.6,8.3,0.6,14490.0
Tajikistan,2013,8086840,2.69,2.74,57.1,33.2,-0.5,-4006.0
Tanzania,2013,48155512,3.01,3.04,54.4,38.0,-0.3,-12273.0
Thailand,2013,67413873,0.56,0.43,132.0,11.5,1.2,83358.0
Timor-Leste,2013,1150015,2.04,2.5,77.3,33.2,-4.6,-5234.0
Togo,2013,6715494,2.74,2.98,123.5,36.5,-2.3,-15592.0
Tonga,2013,106304,0.13,1.92,148.3,24.0,-17.9,-1900.0
Trinidad and Tobago,2013,1340855,0.49,0.63,261.5,14.1,-1.4,-1891.0
Tunisia,2013,10901720,1.2,1.41,70.2,20.5,-2.2,-23592.0
Turkey,2013,77341642,1.3,1.13,100.5,17.1,1.7,133589.0
Turkmenistan,2013,5110940,1.14,1.32,10.9,19.4,-1.9,-9620.0
Turks and Caicos Islands,2013,47820,2.91,1.44,50.4,17.1,14.6,0.0
Tuvalu,2013,10707,0.78,1.47,411.8,23.5,-6.9,0.0
Uganda,2013,33809510,2.96,3.71,171.5,44.3,-7.5,-254950.0
Ukraine,2013,45388613,-0.28,-0.35,78.3,11.1,0.7,31913.0
United Arab Emirates,2013,8930981,3.73,0.93,106.8,10.5,28.1,250602.0
United Kingdom,2013,63872733,0.66,0.33,264.0,12.2,3.3,209112.0
United States,2013,316059947,0.7,0.42,34.5,12.4,2.8,891740.0
Uruguay,2013,3388303,0.49,0.47,19.4,14.4,0.2,0.0
Uzbekistan,2013,30025857,1.66,1.78,70.6,22.6,-1.2,-34566.0
Vanuatu,2013,261325,2.06,2.21,21.4,26.3,-1.5,0.0
Venezuela,2013,29886014,1.35,1.48,33.9,20.2,-1.3,-38643.0
Vietnam,2013,93859918,1.25,1.29,302.7,18.4,-0.3,-30272.0
"Virgin Islands, British",2013,31878,2.36,0.6,211.1,10.8,17.6,0.0
"Virgin Islands, U.S.",2013,108041,-0.14,0.63,310.5,13.1,-7.7,0.0
Wallis and Futuna,2013,15478,0.32,0.86,109.0,13.7,-5.4,0.0
West Bank,2013,2559579,2.06,2.54,453.8,29.0,-4.8,-12271.0
Yemen,2013,26051911,2.58,2.78,49.3,34.4,-2.0,-51641.0
Zambia,2013,14964352,3.08,3.09,20.1,38.6,-0.1,-1074.0
Zimbabwe,2013,13504275,2.13,2.63,34.9,35.7,-5.0,-67451.0
Afghanistan,2014,37677454,3.25,3.0,57.8,37.2,2.5,92402.0
Albania,2014,2772713,-0.44,0.55,101.2,12.9,-9.8,-27263.0
